project_template,OPEN_PROM
Capacity Additions|Electricity|Biomass,Capacity Additions|Electricity|Biofuels
Capacity Additions|Electricity|Biomass|w/ CCS,Capacity Additions|Electricity|Biofuels|w/ CCS
Capacity Additions|Electricity|Biomass|w/o CCS,Capacity Additions|Electricity|Biofuels|w/o CCS
Capacity Additions|Electricity|Non-Biomass Renewables,Capacity Additions|Electricity|Geothermal and other renewable sources
Capacity|Electricity|Biomass,Capacity|Electricity|Biofuels
Capacity|Electricity|Biomass|w/ CCS,Capacity|Electricity|Biofuels|w/ CCS
Capacity|Electricity|Biomass|w/o CCS,Capacity|Electricity|Biofuels|w/o CCS
Capacity|Electricity|Non-Biomass Renewables,Capacity|Electricity|Geothermal and other renewable sources
Carbon Capture|Energy|Supply|Electricity|Biomass,Carbon Capture|Energy|Supply|Electricity|Biofuels
Carbon Capture|Energy|Demand|Industry|Chemicals,Carbon Capture|Energy|Demand|Chemicals
Carbon Capture|Energy|Demand|Industry|Iron and Steel,Carbon Capture|Energy|Demand|Iron and Steel
Carbon Capture|Energy|Demand|Industry|Non-Metallic Minerals,Carbon Capture|Energy|Demand|Non-Metallic Minerals
Final Energy|Commercial|ICT,Final Energy|Commercial|Data centers and Networks
Final Energy|Commercial|ICT|Data Centers,Final Energy|Commercial|Data centers and Networks|Data Centers
Final Energy|Commercial|ICT|Infrastructure,Final Energy|Commercial|Data centers and Networks|Infrastructure
Final Energy|Commercial|ICT|Data Centers|Electricity,Final Energy|Commercial|Data centers and Networks|Data Centers|Electricity
Final Energy|Commercial|ICT|Infrastructure|Electricity,Final Energy|Commercial|Data centers and Networks|Infrastructure|Electricity
Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biofuels
Secondary Energy|Electricity|Biomass|w/ CCS,Secondary Energy|Electricity|Biofuels|w/ CCS
Secondary Energy|Electricity|Biomass|w/o CCS,Secondary Energy|Electricity|Biofuels|w/o CCS
Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Geothermal and other renewable sources
Secondary Energy|Heat|Biomass,Secondary Energy|Heat|Biofuels
Secondary Energy|Heat|Biomass|w/ CCS,Secondary Energy|Heat|Biofuels|w/ CCS
Secondary Energy|Heat|Biomass|w/o CCS,Secondary Energy|Heat|Biofuels|w/o CCS
Secondary Energy|Heat|Non-Biomass Renewables,Secondary Energy|Heat|Geothermal and other renewable sources
Secondary Energy|Hydrogen|Biomass,Secondary Energy|Hydrogen|Biofuels
Secondary Energy|Hydrogen|Biomass|w/ CCS,Secondary Energy|Hydrogen|Biofuels|w/ CCS
Secondary Energy|Hydrogen|Biomass|w/o CCS,Secondary Energy|Hydrogen|Biofuels|w/o CCS
Secondary Energy|Hydrogen|Non-Biomass Renewables,Secondary Energy|Hydrogen|Geothermal and other renewable sources
Primary Energy|Biomass,Primary Energy|Biofuels
Primary Energy|Geothermal,Primary Energy|Geothermal and other renewable sources
Primary Energy|Other,Primary Energy|Other fuels
Final Energy|Gases,Final Energy|Gas
Final Energy|Geothermal,Final Energy|Geothermal and other renewable sources
Final Energy|Other,Final Energy|Other fuels
Final Energy|Liquids,Final Energy|Fossil Liquids
Final Energy|Liquids,Final Energy|Biodiesel
Final Energy|Liquids,Final Energy|Biogasoline
Final Energy|Liquids,Final Energy|Biokerosene
Final Energy|Solids,Final Energy|Biomass and Waste
Final Energy|Agriculture,"Final Energy|Agriculture, Fishing, Forestry"
Price|Final Energy|Bunkers|Gases|Gas, "Price|Final Energy|Bunkers|Natural Gas"
Price|Final Energy|Bunkers|Gases|Other, "Price|Final Energy|Bunkers|Other Gases"
Price|Final Energy|Bunkers|Heat, "Price|Final Energy|Bunkers|Steam"
Price|Final Energy|Bunkers|Liquids, "Price|Final Energy|Bunkers|All Liquids"
Price|Final Energy|Bunkers|Liquids|Other, "Price|Final Energy|Bunkers|Other Liquids"
Price|Final Energy|Bunkers|Solids, "Price|Final Energy|Bunkers|Solid Fuels"
Price|Final Energy|Bunkers|Solids|Biomass, "Price|Final Energy|Bunkers|Biomass and Waste"
Price|Final Energy|Transportation|Bus|Gases, "Price|Final Energy|Transportation|Passenger Transport - Busses|Gases"
Price|Final Energy|Transportation|Truck|Gases, "Price|Final Energy|Transportation|Goods Transport - Trucks|Gases"
Price|Final Energy|Transportation|Truck|Liquids, "Price|Final Energy|Transportation|Goods Transport - Trucks|All Liquids"
Price|Final Energy|Agriculture|Electricity, "Price|Final Energy|Agriculture, Fishing, Forestry|Electricity"
Price|Final Energy|Agriculture|Gases, "Price|Final Energy|Agriculture, Fishing, Forestry|Gases"
Price|Final Energy|Agriculture|Heat, "Price|Final Energy|Agriculture, Fishing, Forestry|Steam"
Price|Final Energy|Agriculture|Hydrogen, "Price|Final Energy|Agriculture, Fishing, Forestry|Hydrogen"
Price|Final Energy|Agriculture|Liquids, "Price|Final Energy|Agriculture, Fishing, Forestry|All Liquids"
Price|Final Energy|Agriculture|Solids, "Price|Final Energy|Agriculture, Fishing, Forestry|Solid Fuels"
Price|Final Energy|Commercial|Gases, "Price|Final Energy|Commercial|Services|Gases"
Price|Final Energy|Commercial|Heat, "Price|Final Energy|Commercial|Services|Steam"
Price|Final Energy|Commercial|Hydrogen, "Price|Final Energy|Commercial|Services|Hydrogen"
Price|Final Energy|Commercial|Solids, "Price|Final Energy|Commercial|Services|Solid Fuels"
Price|Final Energy|Industry|Chemicals|Heat, "Price|Final Energy|Industry|Chemicals|Steam"
Price|Final Energy|Industry|Iron and Steel|Heat, "Price|Final Energy|Industry|Iron and Steel|Steam"
Price|Final Energy|Industry|Non-Ferrous Metals|Electricity, "Price|Final Energy|Industry|Non Ferrous Metals|Electricity"
Price|Final Energy|Industry|Non-Ferrous Metals|Heat, "Price|Final Energy|Industry|Non Ferrous Metals|Steam"
Price|Final Energy|Industry|Non-Ferrous Metals|Hydrogen, "Price|Final Energy|Industry|Non Ferrous Metals|Hydrogen"
Price|Final Energy|Industry|Non-Metallic Minerals|Electricity, "Price|Final Energy|Industry|Non Metallic Minerals|Electricity"
Price|Final Energy|Industry|Non-Metallic Minerals|Heat, "Price|Final Energy|Industry|Non Metallic Minerals|Steam"
Price|Final Energy|Industry|Non-Metallic Minerals|Hydrogen, "Price|Final Energy|Industry|Non Metallic Minerals|Hydrogen"
Price|Final Energy|Industry|Pulp and Paper|Electricity, "Price|Final Energy|Industry|Paper and Pulp|Electricity"
Price|Final Energy|Industry|Pulp and Paper|Gases, "Price|Final Energy|Industry|Paper and Pulp|Gases"
Price|Final Energy|Industry|Pulp and Paper|Heat, "Price|Final Energy|Industry|Paper and Pulp|Steam"
Price|Final Energy|Residential|Heat, "Price|Final Energy|Residential|Steam"
Price|Final Energy|Residential|Liquids, "Price|Final Energy|Residential|All Liquids"
Price|Final Energy|Residential|Solids, "Price|Final Energy|Residential|Solid Fuels"
Price|Final Energy|Transportation|Bus|Electricity, "Price|Final Energy|Transportation|Passenger Transport - Busses|Electricity"
Price|Final Energy|Transportation|Bus|Hydrogen, "Price|Final Energy|Transportation|Passenger Transport - Busses|Hydrogen"
Price|Final Energy|Transportation|Bus|Liquids, "Price|Final Energy|Transportation|Passenger Transport - Busses|All Liquids"
Price|Final Energy|Transportation|Truck|Electricity, "Price|Final Energy|Transportation|Goods Transport - Trucks|Electricity"
Price|Final Energy|Transportation|Truck|Hydrogen, "Price|Final Energy|Transportation|Goods Transport - Trucks|Hydrogen"
Price|Final Energy|Transportation|Domestic Aviation|Electricity, "Price|Final Energy|Transportation|Passenger Transport - Aviation|Electricity"
Price|Final Energy|Transportation|Domestic Aviation|Gases, "Price|Final Energy|Transportation|Passenger Transport - Aviation|Gases"
Price|Final Energy|Transportation|Domestic Aviation|Hydrogen, "Price|Final Energy|Transportation|Passenger Transport - Aviation|Hydrogen"
Price|Final Energy|Transportation|Domestic Aviation|Liquids, "Price|Final Energy|Transportation|Passenger Transport - Aviation|All Liquids"
Price|Final Energy|Transportation|Domestic Shipping|Electricity, "Price|Final Energy|Transportation|Goods Transport - Inland Navigation|Electricity"
Price|Final Energy|Transportation|Domestic Shipping|Gases, "Price|Final Energy|Transportation|Goods Transport - Inland Navigation|Gases"
