check_id,variable,unit,region,start_year,end_year,check_type,reference_value,fail_min,pass_min,pass_max,fail_max,source,notes,enabled
lt_primary_energy_world,Primary Energy,Mtoe,World,2020,2050,change,0.15,0,0.10,0.20,0.30,quantified_longterm_trends.md,Global cumulative primary-energy change under current policies,TRUE
lt_primary_energy_eu,Primary Energy,Mtoe,EU,2020,2050,change,-0.325,-0.50,-0.40,-0.25,-0.15,quantified_longterm_trends.md,EU aggregate overlay; individual EU27 countries are not evaluated,TRUE
lt_primary_energy_usa,Primary Energy,Mtoe,USA,2020,2050,change,-0.15,-0.30,-0.20,-0.10,0,quantified_longterm_trends.md,USA uses the OECD advanced-economy range,TRUE
lt_primary_energy_cha,Primary Energy,Mtoe,CHA,2020,2050,change,0.10,-0.05,0.05,0.15,0.25,quantified_longterm_trends.md,CHN is mapped to the OPEN-PROM CHA region,TRUE
lt_primary_energy_ind,Primary Energy,Mtoe,IND,2020,2050,change,1.15,0.50,0.80,1.50,1.80,quantified_longterm_trends.md,India uses the developing India/ASEAN range as an indicative band,TRUE
lt_final_energy_world,Final Energy,Mtoe,World,2020,2050,change,0.125,0,0.075,0.175,0.25,quantified_longterm_trends.md,Final energy is expected to grow slightly slower than primary energy,TRUE
lt_final_energy_eu,Final Energy,Mtoe,EU,2020,2050,change,-0.325,-0.50,-0.40,-0.25,-0.15,quantified_longterm_trends.md,EU aggregate proxy using the quantified energy-demand range,TRUE
lt_final_energy_usa,Final Energy,Mtoe,USA,2020,2050,change,-0.15,-0.30,-0.20,-0.10,0,quantified_longterm_trends.md,USA uses the OECD advanced-economy range,TRUE
lt_final_energy_cha,Final Energy,Mtoe,CHA,2020,2050,change,0.075,-0.05,0,0.10,0.20,quantified_longterm_trends.md,Final energy grows slightly slower than the quantified CHA primary-energy range,TRUE
lt_final_energy_ind,Final Energy,Mtoe,IND,2020,2050,change,1.05,0.40,0.70,1.40,1.70,quantified_longterm_trends.md,Indicative developing-economy band adjusted below primary-energy growth,TRUE
lt_energy_intensity_gdp_world,Intensity|Primary Energy,Mtoe/billion US$2015,World,2020,2050,cagr,-0.020,-0.030,-0.025,-0.015,-0.010,quantified_longterm_trends.md,Global annual decline range,TRUE
